Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 0 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0000
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 12 | Raw Crowd Count: 0.00 | Raw Flow Mag: 3.2835
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 24 | Raw Crowd Count: 0.00 | Raw Flow Mag: 5.1082
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 36 | Raw Crowd Count: 0.00 | Raw Flow Mag: 4.9830
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 48 | Raw Crowd Count: 0.00 | Raw Flow Mag: 5.3720
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 60 | Raw Crowd Count: 0.00 | Raw Flow Mag: 4.6029
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 72 | Raw Crowd Count: 0.00 | Raw Flow Mag: 4.4006
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 84 | Raw Crowd Count: 1.00 | Raw Flow Mag: 5.8518
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 96 | Raw Crowd Count: 0.00 | Raw Flow Mag: 8.1249
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 108 | Raw Crowd Count: 0.00 | Raw Flow Mag: 3.8077
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 120 | Raw Crowd Count: 0.00 | Raw Flow Mag: 4.6998
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 132 | Raw Crowd Count: 0.00 | Raw Flow Mag: 3.5664
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 144 | Raw Crowd Count: 0.00 | Raw Flow Mag: 1.7059
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 156 | Raw Crowd Count: 0.00 | Raw Flow Mag: 1.8951
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 168 | Raw Crowd Count: 0.00 | Raw Flow Mag: 1.5157
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 180 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.4435
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 192 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.2265
Job: 36dfcb82-88f9-4345-876d-15843951169b | Frame: 204 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.0865
